empresa,setor,competencia,conta,orcado,realizado
Construtora Horizonte,Construção Civil,2025-06,CMV,2185354.8,2167591.57
Construtora Horizonte,Construção Civil,2025-06,Lucro Bruto,936580.63,1088065.56
Construtora Horizonte,Construção Civil,2025-06,Despesas Comerciais,156096.77,154497.58
Construtora Horizonte,Construção Civil,2025-06,Despesas Administrativas,300000.0,295117.36
Construtora Horizonte,Construção Civil,2025-06,EBITDA,480483.86,638450.61
Construtora Horizonte,Construção Civil,2025-07,Receita Líquida,3146910.9,3139739.25
Construtora Horizonte,Construção Civil,2025-07,CMV,2202837.63,2555671.22
Construtora Horizonte,Construção Civil,2025-07,Lucro Bruto,944073.27,584068.04
Construtora Horizonte,Construção Civil,2025-07,Despesas Comerciais,157345.55,154750.98
Construtora Horizonte,Construção Civil,2025-07,Despesas Administrativas,300000.0,303903.56
Construtora Horizonte,Construção Civil,2025-07,EBITDA,486727.73,125413.5
Construtora Horizonte,Construção Civil,2025-08,Receita Líquida,3172086.19,3129865.11
Construtora Horizonte,Construção Civil,2025-08,CMV,2220460.33,2230770.43
Construtora Horizonte,Construção Civil,2025-08,Lucro Bruto,951625.86,899094.67
Construtora Horizonte,Construção Civil,2025-08,Despesas Comerciais,158604.31,158974.45
Construtora Horizonte,Construção Civil,2025-08,Despesas Administrativas,300000.0,301312.13
Construtora Horizonte,Construção Civil,2025-08,EBITDA,493021.55,438808.1
Construtora Horizonte,Construção Civil,2025-09,Receita Líquida,3197462.88,3240878.9
Construtora Horizonte,Construção Civil,2025-09,CMV,2238224.02,2241249.16
Construtora Horizonte,Construção Civil,2025-09,Lucro Bruto,959238.86,999629.74
Construtora Horizonte,Construção Civil,2025-09,Despesas Comerciais,159873.14,160797.59
Construtora Horizonte,Construção Civil,2025-09,Despesas Administrativas,300000.0,303787.73
Construtora Horizonte,Construção Civil,2025-09,EBITDA,499365.72,535044.42
Construtora Horizonte,Construção Civil,2025-10,Receita Líquida,3223042.58,3192721.96
Construtora Horizonte,Construção Civil,2025-10,CMV,2256129.81,2227301.98
Construtora Horizonte,Construção Civil,2025-10,Lucro Bruto,966912.78,965419.98
Construtora Horizonte,Construção Civil,2025-10,Despesas Comerciais,161152.13,160265.33
Construtora Horizonte,Construção Civil,2025-10,Despesas Administrativas,300000.0,308969.65
Construtora Horizonte,Construção Civil,2025-10,EBITDA,505760.65,496185.0
Construtora Horizonte,Construção Civil,2025-11,Receita Líquida,3248826.93,3139479.87
Construtora Horizonte,Construção Civil,2025-11,CMV,2274178.85,2258947.08
Construtora Horizonte,Construção Civil,2025-11,Lucro Bruto,974648.08,880532.79
Construtora Horizonte,Construção Civil,2025-11,Despesas Comerciais,162441.35,162970.1
Construtora Horizonte,Construção Civil,2025-11,Despesas Administrativas,300000.0,303517.33
Construtora Horizonte,Construção Civil,2025-11,EBITDA,512206.73,414045.36
Construtora Horizonte,Construção Civil,2025-12,Receita Líquida,3274817.54,3251977.32
Construtora Horizonte,Construção Civil,2025-12,CMV,2292372.28,2271174.63
Construtora Horizonte,Construção Civil,2025-12,Lucro Bruto,982445.26,980802.69
Construtora Horizonte,Construção Civil,2025-12,Despesas Comerciais,163740.88,166550.59
Construtora Horizonte,Construção Civil,2025-12,Despesas Administrativas,300000.0,298852.17
Construtora Horizonte,Construção Civil,2025-12,EBITDA,518704.39,515399.93
